continent,location,date,new_cases,new_deaths,new_vaccinations,rolling_avg_cases_7d,rolling_avg_deaths_7d,rolling_avg_vaccinations_7d
Asia,Afghanistan,24/02/2020,1,NULL,NULL,1,NULL,NULL
Asia,Afghanistan,25/02/2020,0,NULL,NULL,0.5,NULL,NULL
Asia,Afghanistan,26/02/2020,0,NULL,NULL,0.333333333,NULL,NULL
Asia,Afghanistan,27/02/2020,0,NULL,NULL,0.25,NULL,NULL
Asia,Afghanistan,28/02/2020,0,NULL,NULL,0.2,NULL,NULL
Asia,Afghanistan,29/02/2020,0,NULL,NULL,0.166666667,NULL,NULL
Asia,Afghanistan,01/03/2020,0,NULL,NULL,0.142857143,NULL,NULL
Asia,Afghanistan,02/03/2020,0,NULL,NULL,0,NULL,NULL
Asia,Afghanistan,03/03/2020,1,NULL,NULL,0.142857143,NULL,NULL
Asia,Afghanistan,04/03/2020,2,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,05/03/2020,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,06/03/2020,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,07/03/2020,0,NULL,NULL,0.428571429,NULL,NULL
Asia,Afghanistan,08/03/2020,1,NULL,NULL,0.571428571,NULL,NULL
Asia,Afghanistan,09/03/2020,2,NULL,NULL,0.857142857,NULL,NULL
Asia,Afghanistan,10/03/2020,1,NULL,NULL,0.857142857,NULL,NULL
Asia,Afghanistan,11/03/2020,3,NULL,NULL,1,NULL,NULL
Asia,Afghanistan,12/03/2020,1,NULL,NULL,1.142857143,NULL,NULL
Asia,Afghanistan,13/03/2020,1,NULL,NULL,1.285714286,NULL,NULL
Asia,Afghanistan,14/03/2020,2,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,15/03/2020,1,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,16/03/2020,2,NULL,NULL,1.571428571,NULL,NULL
Asia,Afghanistan,17/03/2020,2,NULL,NULL,1.714285714,NULL,NULL
Asia,Afghanistan,18/03/2020,4,NULL,NULL,1.857142857,NULL,NULL
Asia,Afghanistan,19/03/2020,1,NULL,NULL,1.857142857,NULL,NULL
Asia,Afghanistan,20/03/2020,4,NULL,NULL,2.285714286,NULL,NULL
Asia,Afghanistan,21/03/2020,1,NULL,NULL,2.142857143,NULL,NULL
Asia,Afghanistan,22/03/2020,4,1,NULL,2.571428571,1,NULL
Asia,Afghanistan,23/03/2020,7,0,NULL,3.285714286,0.5,NULL
Asia,Afghanistan,24/03/2020,2,0,NULL,3.285714286,0.333333333,NULL
Asia,Afghanistan,25/03/2020,33,1,NULL,7.428571429,0.5,NULL
Asia,Afghanistan,26/03/2020,4,1,NULL,7.857142857,0.6,NULL
Asia,Afghanistan,27/03/2020,11,0,NULL,8.857142857,0.5,NULL
Asia,Afghanistan,28/03/2020,16,1,NULL,11,0.571428571,NULL
Asia,Afghanistan,29/03/2020,11,0,NULL,12,0.428571429,NULL
Asia,Afghanistan,30/03/2020,28,0,NULL,15,0.428571429,NULL
Asia,Afghanistan,31/03/2020,29,0,NULL,18.85714286,0.428571429,NULL
Asia,Afghanistan,01/04/2020,22,0,NULL,17.28571429,0.285714286,NULL
Asia,Afghanistan,02/04/2020,43,0,NULL,22.85714286,0.142857143,NULL
Asia,Afghanistan,03/04/2020,35,4,NULL,26.28571429,0.714285714,NULL
Asia,Afghanistan,04/04/2020,25,2,NULL,27.57142857,0.857142857,NULL
Asia,Afghanistan,05/04/2020,38,2,NULL,31.42857143,1.142857143,NULL
Asia,Afghanistan,06/04/2020,30,3,NULL,31.71428571,1.571428571,NULL
Asia,Afghanistan,07/04/2020,56,1,NULL,35.57142857,1.714285714,NULL
Asia,Afghanistan,08/04/2020,21,0,NULL,35.42857143,1.714285714,NULL
Asia,Afghanistan,09/04/2020,40,1,NULL,35,1.857142857,NULL
Asia,Afghanistan,10/04/2020,47,1,NULL,36.71428571,1.428571429,NULL
Asia,Afghanistan,11/04/2020,24,0,NULL,36.57142857,1.142857143,NULL
Asia,Afghanistan,12/04/2020,52,1,NULL,38.57142857,1,NULL
